ControleAt_Id;FileFolder;FileName;FileSizeMB
1_1;data/backup_files/2023_01/;JoinOSC.RDS;
1_2;data/backup_files/2023_01/;OSC2023Clean.RDS;
1_3;data/backup_files/2023_01/;DB_OSC.RDS;95,1551044921875
