ControleAt_Id;At_id;Data;Processo_id;Processo_Nome;Completo;DataInicio;DataFim;Controle
1_5;1;2023-11-10T00:00:00Z;5;Criação do diretório Backup;1;2023-11-10T11:45:34.460Z;2023-11-10T11:45:34.460Z;51
1_2;1;2023-11-10T00:00:00Z;2;Identificação OSC via Razão Social;1;2023-11-10T10:19:00Z;2023-11-10T10:19:00Z;21
1_1;1;2023-11-08T00:00:00Z;1;baixar bases de dados brutas SRF;1;2023-11-08T11:00:00Z;2023-11-08T11:00:00Z;11
1_3;1;2023-11-24T00:00:00Z;3;Determinação das áreas de atuação OSC;1;2023-11-24T15:49:51.159712Z;2023-11-24T15:54:12.547255Z;31
